ano,estado,municipio,produto,area_plantada_ha,producao_toneladas
2015,MS,Teixeira,Algodão,643.96,3325.33
2001,PR,Almeida do Galho,Milho,792.93,660.25
2009,RS,Aragão das Pedras,Milho,873.26,2163.04
2011,SC,Vieira,Trigo,452.96,3510.59
2007,MG,Souza,Cana-de-açúcar,328.58,4306.14
2010,MG,Almeida,Algodão,147.7,523.75
2009,MG,Teixeira,Café,835.64,3019.69
2012,GO,da Paz,Trigo,656.78,4992.85
2016,GO,da Costa,Milho,467.07,3089.69
2006,MS,Cardoso,Feijão,764.83,901.44
2023,SC,Azevedo do Amparo,Cana-de-açúcar,972.66,4097.21
2002,SP,Almeida do Galho,Trigo,95.17,4444.76
2019,MS,Almeida do Galho,Arroz,732.22,2527.77
2012,PR,Azevedo,Algodão,197.34,3052.0
2018,SC,Almeida do Galho,Soja,805.4,4908.28
2006,MG,Gomes das Flores,Trigo,517.2,1478.96
2008,SP,Nunes,Soja,893.42,
2018,MT,Araújo de Rezende,Café,276.26,2068.29
2012,SP,Rocha,Arroz,,1836.73
2021,MT,Silva,Arroz,113.82,1667.36
2007,MG,Aragão das Pedras,Café,827.95,4993.62
2021,MS,das Neves,Café,294.11,1496.35
2017,MS,Correia,Arroz,575.95,3968.59
2022,MS,Fernandes,Feijão,651.34,
2001,BA,da Costa,Feijão,656.17,4552.68
2017,SP,Gonçalves,Milho,600.32,1596.63
2017,MG,Vieira,Café,869.72,1113.38
2010,BA,Cardoso,Feijão,790.04,3428.41
2000,PR,Gonçalves,Milho,632.75,40.75
2013,MT,Dias,Café,253.98,3312.56
2015,MT,da Luz,Cana-de-açúcar,940.06,2984.32
2010,SP,Viana do Amparo,Café,467.55,4688.69
2000,SP,Peixoto,Feijão,40.21,3160.37
2006,PR,da Paz,Soja,,4198.06
2015,MS,da Paz,Cana-de-açúcar,242.21,609.84
2013,BA,Correia,Café,529.81,1243.99
2014,GO,das Neves,Trigo,,2764.08
2013,RS,da Conceição,Cana-de-açúcar,358.14,927.46
2020,GO,Silva,Feijão,743.26,3947.3
2010,RS,Cardoso,Algodão,692.38,3252.3
2015,SP,da Mata do Oeste,Cana-de-açúcar,24.71,2020.4
2018,SP,Peixoto,Feijão,908.94,226.85
2016,MS,Pires da Mata,Feijão,643.7,2732.37
2005,GO,Moreira,Arroz,234.06,
2010,SC,da Luz,Arroz,527.1,820.74
2016,RS,Cardoso,Trigo,14.1,4483.05
2008,MT,Novaes,Trigo,680.59,4403.21
2017,SP,Oliveira Paulista,Feijão,856.78,451.05
2016,RS,Nunes,Trigo,207.62,4510.61
2011,SC,Viana do Amparo,Algodão,294.92,2387.42
2022,MG,Teixeira,Feijão,729.5,1734.8
2021,BA,Barbosa Grande,Trigo,935.83,
2021,SP,Cardoso,Milho,117.83,1322.99
2004,GO,Teixeira,Soja,713.75,3858.31
2010,GO,Barbosa Grande,Trigo,751.89,4778.84
2003,MG,da Costa da Prata,Cana-de-açúcar,305.38,3473.37
2003,PR,Gonçalves,Soja,927.44,
2002,MG,da Costa,Arroz,12.27,3141.64
2023,PA,da Costa,Café,910.18,4867.96
2022,GO,Fernandes,Cana-de-açúcar,853.26,237.36
2016,SC,Silveira de Minas,Algodão,974.66,
2006,MT,Cardoso de Minas,Milho,563.52,595.83
2003,MG,Moreira,Algodão,487.25,3817.59
2022,PA,da Mata da Mata,Algodão,905.87,3299.33
2012,PR,Alves de Ribeiro,Arroz,222.03,2254.42
2011,MS,Nunes,Milho,188.22,3808.68
2000,PA,Aragão das Flores,Algodão,201.63,2494.38
2020,MG,Correia,Trigo,,3556.42
2018,RS,Moraes Verde,Cana-de-açúcar,864.0,3295.54
2020,SP,Aragão das Pedras,Café,852.49,3161.27
2019,MS,Nunes,Milho,225.1,2860.31
2017,PA,Souza,Soja,284.91,2084.14
2010,SC,Aragão das Flores,Café,762.6,897.19
2019,BA,Azevedo do Amparo,Algodão,,3830.08
2002,MT,Moreira,Café,672.44,605.12
2016,MS,Silva,Milho,566.16,1474.12
2011,MT,Barbosa Grande,Arroz,524.36,
2009,MT,Azevedo do Amparo,Feijão,823.14,134.74
2007,MG,Silva,Cana-de-açúcar,253.07,869.16
2014,PA,Teixeira,Algodão,830.89,433.15
2004,MG,Aragão das Pedras,Feijão,122.01,3635.91
2003,MT,Monteiro dos Dourados,Trigo,,4164.37
2020,MG,Melo,Cana-de-açúcar,24.75,4675.56
2019,SC,Almeida,Café,112.04,3558.3
2018,PR,Aragão das Pedras,Feijão,,2838.6
2020,SC,Freitas da Praia,Milho,130.37,2566.41
2003,MT,Viana do Amparo,Trigo,,1530.56
2014,PA,Barbosa Grande,Cana-de-açúcar,307.54,3126.65
2016,MT,da Mata do Oeste,Milho,380.79,204.81
2011,PR,Silveira de Minas,Cana-de-açúcar,225.88,2258.78
2002,MT,Gonçalves,Café,644.28,3067.92
2009,PA,da Mata da Mata,Arroz,386.55,4353.91
2014,SC,Novaes,Milho,29.17,3521.1
2009,PR,Almeida do Galho,Trigo,118.31,4867.59
2023,GO,Vieira,Milho,66.78,2120.7
2022,RS,da Costa,Soja,107.74,4256.1
2017,SC,Aragão das Pedras,Algodão,460.4,
2000,SC,Oliveira Paulista,Café,911.19,3053.85
2002,SC,Dias,Algodão,16.91,786.2
2020,SP,Vieira,Algodão,215.52,1214.8
2011,PA,Teixeira,Café,841.67,3658.01
2000,GO,Teixeira,Algodão,451.14,1875.83
2002,PA,Araújo de Rezende,Café,163.24,2131.46
2002,GO,da Mata da Mata,Café,287.2,514.92
2004,MT,Cardoso,Café,748.71,1132.07
2018,GO,Correia,Trigo,396.61,2853.73
2000,MG,Nunes,Milho,575.44,2644.97
2003,MS,Almeida,Feijão,880.46,3308.78
2003,PR,Viana do Amparo,Milho,380.77,3890.67
2016,MG,da Conceição,Arroz,30.57,1135.32
2013,PA,Almeida,Arroz,387.18,1794.32
2017,SP,Aragão das Pedras,Café,605.47,2562.86
2000,MT,Gonçalves,Feijão,272.74,49.32
2021,MT,Souza,Arroz,953.25,
2015,MS,Moraes Verde,Cana-de-açúcar,,4455.53
2002,MS,Gonçalves,Algodão,432.11,1723.69
2022,PA,Monteiro dos Dourados,Cana-de-açúcar,629.04,1774.2
2020,MT,Vieira,Soja,569.01,1393.35
2008,PR,Almeida do Galho,Feijão,946.84,3026.89
2022,PA,da Costa,Café,537.06,3974.72
2003,GO,das Neves,Feijão,135.93,4117.44
2020,MS,Aragão das Pedras,Cana-de-açúcar,862.72,1474.89
2004,BA,Almeida do Galho,Algodão,847.85,3049.23
2010,BA,Melo,Soja,882.18,3509.85
2020,MG,Rocha,Cana-de-açúcar,335.13,4779.45
2008,PA,Cardoso,Feijão,966.88,2999.13
2002,MS,Cardoso,Arroz,782.4,1375.23
2005,SP,da Costa,Café,663.64,3767.87
2023,RS,Melo de Carvalho,Trigo,616.19,3904.01
2010,SC,Teixeira,Algodão,764.18,3667.01
2008,SC,Almeida,Café,210.0,3994.12
2014,SC,da Costa da Prata,Cana-de-açúcar,852.86,3622.58
2022,PR,Azevedo,Trigo,365.08,4143.62
2002,SC,Rocha,Algodão,753.57,2062.57
2000,RS,da Luz,Milho,738.43,4161.68
2019,MG,Moreira,Trigo,19.45,1266.53
2021,GO,Pires da Mata,Cana-de-açúcar,611.99,1203.39
2018,PA,Freitas da Praia,Feijão,411.24,1444.97
2013,SP,Fernandes,Soja,303.35,4105.37
2016,MT,Almeida do Galho,Algodão,822.34,806.22
2021,MG,Moraes Verde,Trigo,51.55,2128.64
2013,BA,Azevedo,Feijão,722.51,830.49
2016,MG,Gonçalves,Cana-de-açúcar,73.18,1409.57
2013,MT,Cardoso,Arroz,719.4,4242.01
2011,SP,da Luz,Trigo,479.98,2169.0
2015,MT,Aragão das Pedras,Cana-de-açúcar,299.89,3541.15
2000,PR,Freitas,Arroz,343.32,3096.48
2012,RS,Teixeira,Soja,741.45,131.91
2005,SP,Rocha,Arroz,145.7,681.31
2016,PR,Novaes,Cana-de-açúcar,72.14,1625.08
2011,PA,Correia,Café,,1524.31
2022,PA,Teixeira,Trigo,140.07,
2018,SP,Barbosa Grande,Café,84.25,133.4
2005,RS,Vieira,Feijão,798.53,3468.32
2006,SP,Araújo de Rezende,Feijão,709.65,4087.94
2000,SP,Almeida,Cana-de-açúcar,,2202.6
2000,PA,da Mata da Mata,Cana-de-açúcar,818.93,393.8
2004,MS,Rocha,Trigo,629.85,2586.1
2005,MG,Dias,Café,506.94,2701.93
2015,RS,Azevedo do Amparo,Feijão,237.36,1141.85
2015,MG,Viana do Amparo,Café,282.79,
2013,RS,Moreira,Café,400.46,1191.85
2000,MG,da Conceição,Arroz,715.48,4857.63
2012,MS,Caldeira,Algodão,646.41,4165.79
2019,SC,Cardoso de Minas,Algodão,343.27,3102.69
2009,PR,Pires da Mata,Cana-de-açúcar,959.58,2410.45
2023,MT,Silveira de Minas,Café,421.88,3881.97
2009,MG,Almeida,Milho,66.57,1367.09
2008,MS,Gonçalves,Cana-de-açúcar,511.86,3658.71
2012,SP,da Mata da Mata,Trigo,904.33,1464.69
2002,MT,Monteiro dos Dourados,Algodão,545.59,570.92
2017,GO,Correia,Algodão,865.14,2900.35
2019,PA,Silva,Feijão,85.07,4709.02
2001,SP,Vieira,Café,880.54,3982.26
2016,PA,Teixeira,Arroz,746.81,1889.63
2018,PA,Alves de Ribeiro,Trigo,817.19,4774.47
2022,BA,Silveira de Minas,Soja,737.16,4914.91
2012,SC,Freitas da Praia,Café,44.78,1947.59
2012,GO,Peixoto,Cana-de-açúcar,857.93,
2000,SP,Freitas,Soja,47.62,
2001,PA,da Costa,Feijão,392.0,467.11
2000,MS,Gomes das Flores,Café,591.78,500.02
2023,RS,Gomes das Flores,Cana-de-açúcar,84.03,1700.77
2004,MG,Fernandes,Café,710.35,2405.05
2023,MT,Alves de Ribeiro,Soja,,3142.42
2002,GO,da Conceição,Feijão,306.86,4063.92
2006,GO,Freitas da Praia,Algodão,352.79,36.48
2023,PR,Almeida,Feijão,697.15,
2021,PA,Pires da Mata,Trigo,716.92,2701.46
2012,RS,Fogaça,Cana-de-açúcar,398.91,2919.47
2022,MS,Vieira,Arroz,532.85,4319.97
2017,RS,Cardoso de Minas,Milho,801.72,2544.97
2023,GO,Barbosa Grande,Feijão,92.4,364.61
2020,GO,Melo,Trigo,862.22,3003.09
2006,PA,Freitas da Praia,Milho,704.68,3087.88
2000,GO,Gomes das Flores,Milho,749.64,2379.01
2004,MG,Almeida,Feijão,351.8,4485.54
2016,PA,da Conceição,Milho,730.26,4322.22
2007,SP,Pires da Mata,Trigo,106.6,2565.74
2014,SP,Azevedo do Amparo,Algodão,86.03,3299.3
2019,RS,Peixoto,Milho,321.77,4444.36
2003,PR,Correia,Cana-de-açúcar,516.9,3753.77
2001,MG,Peixoto,Algodão,431.52,4003.25
2004,SC,Silveira de Minas,Milho,552.45,824.47
2000,MG,Aragão das Pedras,Café,27.46,3681.29
2004,GO,da Mata do Oeste,Soja,300.38,
2005,GO,Melo de Carvalho,Cana-de-açúcar,423.62,2354.57
2001,SP,Cardoso,Cana-de-açúcar,198.6,443.31
2000,PR,da Costa da Prata,Soja,231.41,
2003,MS,da Mata da Mata,Trigo,319.79,
2006,MG,Barbosa Grande,Milho,578.08,3920.83
2021,PA,da Costa da Prata,Cana-de-açúcar,736.05,2995.63
2000,BA,Freitas,Algodão,,3593.39
2000,PA,Peixoto,Arroz,113.92,4751.98
2007,MG,Moreira,Cana-de-açúcar,164.73,2743.74
2019,BA,Melo de Carvalho,Milho,543.58,3987.23
2015,MG,da Mata da Mata,Feijão,471.68,2928.9
2020,RS,Almeida,Café,627.38,4730.9
2012,PR,Correia,Trigo,758.85,3407.78
2022,PA,Correia,Feijão,813.77,4151.32
2023,SC,Cardoso de Minas,Milho,700.89,2394.92
2022,GO,Aragão das Flores,Algodão,70.73,216.13
2017,SP,Monteiro dos Dourados,Algodão,927.28,4116.94
2019,BA,Souza,Trigo,62.94,4148.44
2009,PR,Almeida,Trigo,559.05,1304.96
2011,BA,Vieira,Cana-de-açúcar,190.0,2053.5
2000,GO,Dias,Algodão,489.08,1803.79
2009,GO,Correia,Café,,2982.02
2008,SC,Moraes Verde,Café,944.82,
2002,GO,Melo de Carvalho,Milho,465.19,2811.96
2018,RS,Oliveira Paulista,Milho,376.35,1317.95
2008,PA,Melo,Cana-de-açúcar,465.95,324.16
2009,SC,da Mata do Oeste,Algodão,706.58,2942.03
2018,SC,da Mata do Oeste,Soja,233.26,2251.73
2015,SP,da Mata do Oeste,Soja,292.88,3744.88
2023,PR,Fernandes,Milho,238.93,4577.37
2017,SP,Silva,Feijão,834.26,17.4
2013,MS,da Costa da Prata,Cana-de-açúcar,393.88,756.15
2002,MS,Melo de Carvalho,Feijão,472.57,2322.41
2001,MG,Correia,Milho,94.81,3483.09
2000,SP,Freitas,Cana-de-açúcar,963.87,2672.8
2017,MT,Moreira,Arroz,209.57,4501.73
2023,RS,Fogaça,Cana-de-açúcar,633.23,795.45
2008,RS,Barbosa Grande,Milho,762.4,
2012,PA,Rocha,Soja,714.47,4540.82
2001,BA,Barbosa Grande,Café,751.41,689.93
2006,SC,Melo,Algodão,601.93,467.11
2015,PR,Alves de Ribeiro,Algodão,412.69,4071.98
2020,GO,Novaes,Cana-de-açúcar,,4099.45
2018,MG,Cardoso,Feijão,176.6,1075.19
2014,MG,Almeida do Galho,Algodão,340.38,113.25
2021,MG,da Costa,Trigo,854.93,4548.29
2010,MT,da Luz,Milho,128.71,3321.01
2000,MS,Monteiro dos Dourados,Cana-de-açúcar,144.1,3850.93
2020,RS,Oliveira Paulista,Milho,116.24,4331.72
2006,MG,Gonçalves,Trigo,782.33,2658.0
2019,MS,Correia,Arroz,687.22,2808.3
2007,RS,Melo de Carvalho,Trigo,569.2,2358.55
2009,MS,Azevedo do Amparo,Milho,99.26,1299.27
2004,PR,Azevedo,Trigo,589.64,2575.11
2008,MG,Freitas da Praia,Cana-de-açúcar,481.31,1821.03
2000,SC,Oliveira Paulista,Cana-de-açúcar,236.98,4143.35
2001,GO,Cardoso,Arroz,134.95,
2018,BA,Silva,Algodão,154.13,4684.0
2013,PR,Freitas,Feijão,251.97,2753.31
2019,PA,da Mata da Mata,Café,,870.21
2009,MT,Freitas da Praia,Cana-de-açúcar,475.48,3353.69
2008,PA,Melo,Algodão,483.03,3062.22
2009,PA,Novaes,Soja,324.29,3231.12
2005,MG,Pires da Mata,Cana-de-açúcar,108.85,3512.19
2016,PR,Teixeira,Arroz,412.43,2765.2
2005,GO,Fogaça,Trigo,564.84,4425.35
2003,BA,Vieira,Soja,423.4,38.68
2019,MG,Teixeira,Feijão,678.61,4603.2
2002,SC,Souza,Feijão,833.62,633.63
2022,BA,Silva,Arroz,649.42,4300.84
2018,PA,Aragão das Flores,Feijão,440.11,1994.02
2017,MS,Caldeira,Arroz,184.23,3366.29
2023,SC,Rocha,Café,980.27,4107.35
2003,SC,Silveira de Minas,Milho,379.1,704.68
2007,MT,Fogaça,Café,655.54,1615.75
2016,BA,da Costa da Prata,Cana-de-açúcar,669.6,
2004,PA,da Conceição,Soja,402.54,2205.88
2012,MT,Vieira,Feijão,880.95,1720.13
2000,BA,Azevedo,Arroz,210.82,2891.71
2012,MS,Aragão das Pedras,Soja,946.33,3250.09
2003,MT,Correia,Algodão,429.17,2988.53
2021,MT,da Costa,Café,973.92,3059.5
2023,MG,Gonçalves,Soja,262.98,4034.51
2013,PR,Cardoso,Soja,948.07,59.07
2002,SP,Viana do Amparo,Feijão,501.89,1353.48
2004,GO,Freitas da Praia,Milho,,3546.39
2006,PA,Oliveira Paulista,Milho,571.76,4782.23
2000,BA,Caldeira,Milho,,4235.34
2022,GO,Azevedo do Amparo,Trigo,69.25,4588.32
2011,SC,Almeida,Arroz,245.28,161.92
2010,RS,Fernandes,Feijão,334.68,3657.98
2023,PR,Moreira,Café,488.91,2268.23
2007,PA,Almeida,Algodão,924.04,2410.91
2005,MG,Gonçalves,Algodão,55.95,4034.04
2021,SC,Araújo de Rezende,Algodão,,2806.04
2001,BA,Azevedo,Milho,408.25,1089.61
2018,GO,Vieira,Soja,720.41,4830.82
2019,MT,Barbosa Grande,Soja,772.35,2047.78
2019,SC,Vieira,Feijão,101.95,1225.56
2023,MG,Azevedo,Arroz,466.77,1217.47
2013,SC,Almeida,Milho,162.67,1237.01
2000,MG,Rocha,Trigo,687.42,120.29
2009,MT,Aragão das Flores,Arroz,800.51,3928.72
2015,SP,Barbosa Grande,Milho,13.85,4143.74
2003,SP,Dias,Trigo,573.54,3379.64
2010,BA,Melo,Arroz,102.29,1215.33
2015,MS,da Conceição,Cana-de-açúcar,494.55,2218.33
2019,SC,Rocha,Trigo,395.36,3845.92
2000,BA,Cardoso,Cana-de-açúcar,,2609.91
2015,RS,Gomes das Flores,Trigo,424.5,4695.86
2018,MS,Souza,Soja,940.85,3822.12
2020,PR,Dias,Feijão,515.37,4112.22
2021,BA,Almeida do Galho,Milho,911.61,2077.45
2008,PR,Caldeira,Cana-de-açúcar,82.08,1903.39
2008,BA,Cardoso,Arroz,823.15,
2008,MG,Caldeira,Soja,430.48,192.02
2016,MG,Viana do Amparo,Algodão,860.39,40.22
2011,MG,Melo de Carvalho,Soja,945.97,1752.02
2012,PA,da Costa,Soja,236.64,2905.51
2007,SP,da Rocha,Milho,286.11,3002.56
2015,GO,Gomes das Flores,Milho,596.66,419.57
2017,RS,Cardoso,Soja,235.57,883.13
2000,MG,da Costa,Milho,972.97,1814.14
2000,MT,Silveira de Minas,Café,606.82,2803.25
2011,MT,Freitas da Praia,Algodão,598.07,673.51
2005,PR,Correia,Algodão,771.03,3776.05
2008,GO,Cardoso de Minas,Milho,897.18,4884.56
2022,SP,Vieira,Trigo,280.54,3515.55
2004,BA,Azevedo,Soja,972.39,3133.98
2015,MS,Oliveira Paulista,Algodão,107.72,3851.27
2017,GO,Vieira,Algodão,887.25,4083.53
2016,BA,Moreira,Milho,712.03,169.82
2017,PA,Moreira,Algodão,,2454.1
2000,SP,das Neves,Arroz,969.39,3827.35
2018,PR,Cardoso de Minas,Soja,361.18,1187.87
2021,BA,Correia,Milho,774.75,1717.62
2007,SC,Gonçalves,Trigo,749.18,4981.57
2002,SC,Azevedo,Cana-de-açúcar,62.93,2132.96
2004,PR,Cardoso de Minas,Algodão,984.8,61.43
2022,MT,Araújo de Rezende,Arroz,92.64,4300.86
2007,MT,da Mata do Oeste,Milho,984.13,3688.0
2018,SC,Moreira,Trigo,193.16,
2017,GO,Nunes,Cana-de-açúcar,830.1,3501.97
2017,SP,Alves de Ribeiro,Trigo,778.6,4341.03
2020,RS,Cardoso de Minas,Feijão,677.75,2027.53
2000,PA,Novaes,Soja,71.82,607.26
2014,MS,Alves de Ribeiro,Trigo,182.19,3104.03
2017,GO,Araújo de Rezende,Arroz,24.83,2583.72
2006,BA,das Neves,Trigo,933.43,
2015,GO,Azevedo do Amparo,Café,55.39,3040.3
2015,BA,Melo,Milho,847.18,4587.57
2014,SP,Melo,Soja,579.63,4053.69
2005,RS,Freitas da Praia,Algodão,165.58,4083.66
2008,SC,Pires da Mata,Arroz,466.55,4491.5
2006,SP,Correia,Soja,519.79,3047.89
2013,RS,Teixeira,Arroz,367.38,475.27
2010,GO,Souza,Milho,300.66,4521.54
2020,SP,da Luz,Milho,391.3,409.34
2015,BA,Freitas da Praia,Soja,441.55,1685.87
2005,PA,Gonçalves,Milho,136.81,1871.86
2021,SC,Melo,Algodão,613.93,3581.57
2015,RS,Cardoso,Café,241.88,381.37
2019,MT,da Paz,Algodão,204.69,752.23
2015,BA,Moreira,Soja,521.36,2682.42
2011,MS,da Conceição,Soja,600.57,866.59
2016,MG,da Conceição,Soja,282.84,1013.15
2004,RS,Azevedo do Amparo,Trigo,,114.64
2012,PA,Oliveira Paulista,Café,113.76,1121.74
2007,MT,Pires da Mata,Trigo,13.85,241.58
2023,MG,Araújo de Rezende,Feijão,45.6,3423.36
2004,MT,da Mata do Oeste,Algodão,815.82,4724.89
2011,PA,Novaes,Soja,591.46,4152.79
2008,SC,Caldeira,Milho,452.44,4831.62
2002,MT,Novaes,Soja,427.02,3353.09
2002,PA,da Costa,Soja,135.35,3286.52
2000,GO,Almeida do Galho,Milho,938.32,2294.15
2021,MS,Vieira,Algodão,132.75,3405.84
2017,GO,Gonçalves,Soja,716.86,2967.49
2023,PR,da Rocha,Arroz,466.02,2673.69
2011,MG,da Mata da Mata,Trigo,922.1,3514.22
2008,SP,Melo de Carvalho,Soja,787.58,1203.07
2008,SP,Teixeira,Cana-de-açúcar,744.19,2139.06
2017,MG,Fogaça,Soja,943.62,784.48
2017,PA,Aragão das Flores,Algodão,71.89,3918.61
2006,GO,Moraes Verde,Soja,,746.75
2003,PR,Pires da Mata,Café,,2333.75
2012,PA,Vieira,Feijão,217.39,911.41
2016,GO,Azevedo,Milho,530.79,2574.21
2023,MT,Gonçalves,Trigo,321.87,1507.1
2001,BA,da Rocha,Algodão,651.3,4171.79
2013,MT,Viana do Amparo,Soja,,416.88
2002,SP,Souza,Arroz,671.38,1869.74
2004,MG,Novaes,Café,372.35,3689.15
2013,MS,Oliveira Paulista,Algodão,794.4,851.95
2002,MS,Correia,Cana-de-açúcar,892.25,232.84
2022,MS,da Costa da Prata,Cana-de-açúcar,897.67,2931.95
2006,PR,Silva,Algodão,655.66,1247.79
2017,MS,Pires da Mata,Feijão,473.32,242.69
2012,MS,Correia,Milho,638.89,2532.88
2022,SC,da Mata do Oeste,Soja,450.4,111.47
2021,MG,Melo de Carvalho,Algodão,,2018.85
2009,MT,Silveira de Minas,Arroz,212.51,3468.59
2012,MG,Gonçalves,Arroz,582.15,1223.68
2015,RS,Aragão das Flores,Feijão,187.33,4250.06
2008,RS,Aragão das Pedras,Trigo,891.32,1887.72
2001,SC,Teixeira,Arroz,411.56,2244.42
2022,SC,Vieira,Soja,677.99,3396.24
2004,SC,Novaes,Café,,2462.15
2021,PR,Pires da Mata,Algodão,152.3,2738.07
2016,MG,Teixeira,Café,,4952.27
2022,PR,Nunes,Soja,493.67,791.52
2021,PA,Caldeira,Soja,28.93,2359.63
2003,MT,das Neves,Arroz,136.89,2251.96
2016,SC,da Conceição,Milho,244.34,3214.02
2008,GO,Moraes Verde,Trigo,440.18,4574.9
2019,MG,Souza,Café,725.42,1485.14
2001,SC,Freitas,Algodão,963.45,1762.04
2023,PA,Freitas da Praia,Cana-de-açúcar,61.26,1086.52
2017,MT,Cardoso de Minas,Feijão,576.69,3235.37
2020,SC,Azevedo,Soja,311.12,1553.14
2021,MG,Peixoto,Trigo,948.91,1161.53
2010,SP,da Mata da Mata,Cana-de-açúcar,587.32,4716.23
2012,BA,Correia,Soja,481.48,2631.37
2007,SP,Freitas da Praia,Arroz,665.49,4639.11
2000,MS,da Mata do Oeste,Algodão,271.08,2856.58
2016,MS,Teixeira,Algodão,295.82,3746.23
2011,SP,Teixeira,Arroz,870.27,2818.72
2003,MG,Silva,Soja,716.51,2067.84
2020,GO,Rocha,Arroz,744.47,3297.35
2012,GO,Pires da Mata,Milho,508.78,2259.08
2008,RS,Silva,Feijão,164.14,387.61
2006,SP,Fogaça,Arroz,506.01,4931.25
2022,MS,Freitas,Feijão,250.37,2375.16
2023,MS,Barbosa Grande,Cana-de-açúcar,508.78,1477.98
2004,BA,Alves de Ribeiro,Feijão,293.82,952.42
2004,GO,Silveira de Minas,Feijão,373.87,2388.26
2016,SP,das Neves,Algodão,,3233.57
2008,BA,Gomes das Flores,Trigo,387.09,2534.57
2005,BA,Silva,Algodão,640.23,1115.06
2018,MT,Cardoso de Minas,Café,654.3,3360.5
2015,MS,Peixoto,Algodão,921.58,
2020,SP,Barbosa Grande,Cana-de-açúcar,,4595.52
2001,GO,Melo de Carvalho,Milho,592.47,591.79
2009,MS,Correia,Café,559.76,3994.75
2015,BA,Freitas da Praia,Milho,226.75,3687.89
2004,GO,Rocha,Cana-de-açúcar,91.93,2874.14
2014,MS,da Mata da Mata,Café,57.26,3172.44
2012,PA,Azevedo do Amparo,Arroz,,3784.39
2012,PR,Fernandes,Arroz,888.98,398.58
2012,SP,Melo de Carvalho,Algodão,391.03,2312.03
2014,SP,Pires da Mata,Arroz,209.51,3422.16
2013,MG,Gonçalves,Milho,243.99,4768.84
2007,MS,Fernandes,Cana-de-açúcar,667.13,964.38
2010,PA,Correia,Feijão,141.83,2743.92
2017,PR,Vieira,Arroz,200.95,3242.6
2023,SC,Almeida,Cana-de-açúcar,888.0,843.39
2003,PR,da Mata do Oeste,Algodão,155.24,4869.29
2009,PR,Freitas da Praia,Trigo,163.97,
2000,BA,da Mata da Mata,Cana-de-açúcar,589.1,4633.27
2004,BA,Peixoto,Arroz,249.36,
2012,MG,Silva,Soja,171.12,1457.69
2000,MG,das Neves,Cana-de-açúcar,325.15,1161.38
2022,GO,Moraes Verde,Arroz,911.94,2824.6
2007,MG,Pires da Mata,Soja,285.8,1947.47
2002,MG,Fernandes,Milho,478.17,1856.65
2002,BA,Teixeira,Soja,961.34,3776.83
2006,MT,Pires da Mata,Café,810.13,1320.2
2003,GO,Novaes,Café,930.67,977.9
2002,BA,Dias,Feijão,920.67,2443.8
2014,GO,Azevedo do Amparo,Feijão,791.24,3118.36
2007,SP,da Costa,Soja,31.73,922.67
2002,BA,Teixeira,Café,912.58,3115.53
2006,MS,Rocha,Arroz,344.56,3952.74
2017,PR,Alves de Ribeiro,Feijão,957.59,4029.31
2010,SP,da Paz,Arroz,280.96,852.59
2010,MS,Fernandes,Feijão,,2010.76
2016,MT,Correia,Feijão,196.23,4642.67
2005,MT,da Costa da Prata,Arroz,407.48,3915.23
2007,GO,Araújo de Rezende,Algodão,347.66,959.84
2000,MT,Souza,Cana-de-açúcar,155.99,414.33
2009,RS,Gonçalves,Trigo,680.57,4833.81
2018,BA,Teixeira,Feijão,622.1,
2002,GO,Melo de Carvalho,Milho,340.09,798.04
2003,SC,Silva,Algodão,,4042.36
2010,SP,das Neves,Soja,849.34,238.82
2014,PA,Freitas da Praia,Soja,756.6,
2000,GO,Nunes,Arroz,765.94,1511.65
2008,SP,da Rocha,Milho,768.48,2530.29
2010,MS,Novaes,Cana-de-açúcar,442.81,4681.83
2018,MS,Gomes das Flores,Soja,246.1,4285.23
2012,PA,Rocha,Arroz,960.91,2814.68
2015,BA,Fernandes,Trigo,449.9,3800.7
2003,PR,Correia,Milho,635.5,
2000,PA,Gomes das Flores,Arroz,853.68,227.89
2019,PR,da Mata da Mata,Trigo,291.94,
2012,SC,Melo,Algodão,730.15,3025.32
2000,GO,da Costa da Prata,Soja,842.92,1585.48
2004,MT,da Conceição,Algodão,570.95,4229.98
2004,PA,da Costa,Soja,835.87,2048.39
2013,MT,Aragão das Pedras,Trigo,522.74,1948.51
2022,GO,Oliveira Paulista,Feijão,295.54,1843.29
2013,BA,Nunes,Algodão,475.82,3959.32
2007,SP,Caldeira,Cana-de-açúcar,547.45,1220.42
2003,MT,Freitas,Algodão,389.07,4232.43
2006,PR,Azevedo,Milho,143.28,1189.99
2019,MT,Aragão das Pedras,Trigo,512.17,2408.33
2018,SC,Monteiro dos Dourados,Feijão,618.11,418.59
2014,RS,da Mata da Mata,Café,192.51,4752.48
2021,BA,Melo,Algodão,945.33,4472.31
2003,SP,Azevedo do Amparo,Trigo,200.71,2900.46
2018,BA,Souza,Milho,92.02,970.59
2008,BA,Aragão das Flores,Café,222.37,2799.96
2020,MG,Gonçalves,Algodão,457.48,2129.54
2012,PA,Silva,Trigo,,513.17
2013,SC,Gomes das Flores,Trigo,,4773.06
2022,SC,Almeida do Galho,Algodão,750.97,1864.55
2013,MT,da Costa,Feijão,371.01,225.92
2021,GO,da Conceição,Trigo,704.85,4449.28
2009,MS,Vieira,Arroz,11.79,167.42
